Ano;País de Destino;Categoria de Carne;Faturamento (US$);Volume (Kg)
2024;África do Sul;Carne de Aves;1965035;2449731
2024;Bahamas;Carne de Aves;1927917;896470
2024;Filipinas;Carne de Aves;1895020;662841
2024;Gabão;Carne Suína;1874404;1147596
2024;Emirados Árabes Unidos;Carne de Aves;1805648;810704
2024;Costa do Marfim;Carne Suína;1796871;3136146
2024;Filipinas;Carne de Aves;1781797;947112
2024;Gâmbia;Carne de Aves;1727195;1097214
2024;China;Carne de Aves;1708912;1462525
2024;Jordânia;Carne de Aves;1700889;504720
2024;Emirados Árabes Unidos;Outras Carnes e Miudezas;1683736;781528
2024;Mauritânia;Carne de Aves;1667208;1031689
2024;Congo, República Democrática;Carne de Aves;1649832;1629600
2024;Japão;Carne de Aves;1618544;463404
2024;Emirados Árabes Unidos;Carne Suína;1615519;777132
2024;Angola;Carne de Aves;1604400;1507920
2024;Omã;Carne de Aves;1577296;702000
2024;Irlanda;Outras Carnes e Miudezas;1572500;589050
2024;Angola;Carne de Aves;1567149;951111
2024;Japão;Outras Carnes e Miudezas;1566539;816348
2024;Gana;Carne de Aves;1554551;1589720
2024;Venezuela;Carne Suína;1545721;582674
2024;Suíça;Carne de Aves;1497291;614655
2024;Argentina;Carne de Aves;1490221;506205
2024;Gabão;Carne de Aves;1487207;1000710
2024;Emirados Árabes Unidos;Carne de Aves;1467866;648000
2024;Granada;Carne de Aves;1453773;790356
2024;Hong Kong;Carne de Aves;1406666;1638192
2024;Libéria;Carne de Aves;1406042;2263201
2024;Chile;Carne de Aves;1393832;665361
2024;Tonga;Carne de Aves;1339568;1099282
2024;Porto Rico;Carne Suína;1323471;674862
2024;Espanha;Carne de Aves;1312513;760106
2024;São Cristóvão e Névis;Carne de Aves;1312187;607533
2024;Suíça;Outras Carnes e Miudezas;1288952;353170
2024;Singapura;Carne de Aves;1278750;534456
2024;Coreia do Sul;Outras Carnes e Miudezas;1277313;1076265
2024;Gana;Carne de Aves;1264056;1002720
2024;Quênia;Carne Suína;1249844;528304
2024;África do Sul;Carne de Aves;1242887;1203104
2024;Emirados Árabes Unidos;Carne de Aves;1237411;707814
2024;Angola;Outras Carnes e Miudezas;1215288;1637011
2024;Emirados Árabes Unidos;Carne de Aves;1215098;565372
2024;Haiti;Carne de Aves;1209498;704030
2024;China;Carne de Aves;1205457;297564
2024;Coreia do Sul;Carne de Aves;1150862;1019175
2024;Congo, República Democrática;Outras Carnes e Miudezas;1138762;1818762
2024;Maldivas;Carne de Aves;1133039;444500
2024;Sint Maarten;Carne Suína;1125438;403509
2024;Japão;Carne de Aves;1125361;1198836
2024;Guiné Equatorial;Carne Suína;1101543;664283
2024;Angola;Carne de Aves;1097990;748390
2024;Gabão;Carne de Aves;1085398;812701
2024;Filipinas;Carne Suína;1083133;356817
2024;Tunísia;Carne de Aves;1070552;377460
2024;Iêmen;Carne de Aves;1051433;433460
2024;Bahamas;Carne de Aves;1042326;537795
2024;Maldivas;Carne de Aves;1040507;646622
2024;Emirados Árabes Unidos;Carne de Aves;1037281;531090
2024;Suíça;Carne de Aves;1035630;563730
2024;Antígua e Barbuda;Carne de Aves;1033383;494177
2024;Uruguai;Carne de Aves;1019401;343455
2024;Espanha;Carne de Aves;1002929;508095
2024;Bélgica;Outras Carnes e Miudezas;1000410;292038
2024;Benin;Carne de Aves;976361;613200
2024;Cabo Verde;Carne de Aves;965828;860773
2024;São Cristóvão e Névis;Carne de Aves;961288;522750
2024;Comores;Carne de Aves;913625;464770
2024;Catar;Carne de Aves;912044;257074
2024;Iraque;Carne de Aves;904233;491772
2024;Egito;Carne de Aves;871267;543215
2024;África do Sul;Carne Suína;855930;307919
2024;Congo;Carne de Aves;852478;772525
2024;Hong Kong;Carne de Aves;850943;461438
2024;Chile;Carne de Aves;843696;410618
2024;Gâmbia;Carne de Aves;841769;778270
2024;Uruguai;Carne de Aves;837065;318129
2024;Somália;Carne de Aves;824064;383555
2024;Haiti;Carne de Aves;823879;1203450
2024;Cazaquistão;Carne de Aves;804497;436800
2024;Hong Kong;Carne Bovina;800397;175685
2024;Canadá;Carne de Aves;798730;272160
2024;Cazaquistão;Carne de Aves;794949;431988
2024;Congo;Carne de Aves;783959;493915
2024;Arábia Saudita;Carne de Aves;774492;526545
2024;Aruba;Carne de Aves;774426;501472
2024;Suíça;Carne Suína;770816;275868
2024;Congo;Carne Suína;770606;589720
2024;Cuba;Carne Suína;768290;281386
2024;Guiné;Carne de Aves;761344;690375
2024;Dominica;Carne de Aves;755388;385947
2024;Cabo Verde;Carne Suína;737148;346193
2024;Haiti;Carne Suína;727416;1224519
2024;Espanha;Carne de Aves;725110;607515
2024;Haiti;Carne de Aves;709703;1103867
2024;Congo;Carne de Aves;707357;402930
2024;Japão;Carne de Aves;703093;219704
2024;Sint Maarten;Carne de Aves;697792;326651
2024;Albânia;Carne Suína;694756;282154
2024;Moçambique;Carne de Aves;691872;1218371
2024;Chile;Carne de Aves;688442;292707
2024;Granada;Carne de Aves;684878;378174
2024;Coveite (Kuweit);Carne de Aves;682786;179434
2024;Vietnã;Carne de Aves;668198;269850
2024;Catar;Carne de Aves;664095;162165
2024;Guiné Equatorial;Carne de Aves;657987;687975
2024;Alemanha;Carne de Aves;652353;225512
2024;Rússia;Carne Suína;648864;242320
2024;Cuba;Carne de Aves;638642;262388
2024;Curaçao;Carne de Aves;638521;600750
2024;Suriname;Carne de Aves;634787;360482
2024;Rússia;Carne de Aves;629354;298848
2024;Peru;Carne de Aves;624976;299343
2024;Libéria;Carne Suína;622554;1233857
2024;Barein;Carne de Aves;621860;266662
2024;Filipinas;Carne de Aves;621061;646936
2024;Hong Kong;Carne de Aves;602617;498918
2024;Granada;Carne de Aves;600347;401925
2024;Geórgia;Carne de Aves;599659;377797
2024;Peru;Carne de Aves;598326;526059
2024;Hong Kong;Carne de Aves;598312;199356
2024;Bahamas;Carne de Aves;586391;359544
2024;África do Sul;Carne de Aves;585125;1589220
2024;Guiné;Carne de Aves;579216;542770
2024;Mauritânia;Carne de Aves;577657;487940
2024;Aruba;Carne de Aves;577569;389209
2024;República Dominicana;Carne de Aves;567082;266925
2024;Chile;Outras Carnes e Miudezas;565479;707587
2024;Gabão;Carne de Aves;564641;497650
2024;Turquia;Carne de Aves;561888;254907
2024;Coveite (Kuweit);Carne de Aves;549515;317040
2024;Angola;Carne de Aves;543602;381250
2024;Bahamas;Carne Suína;540466;197887
2024;Catar;Carne de Aves;539638;316110
2024;Montenegro;Carne de Aves;537224;252873
2024;Serra Leoa;Carne de Aves;530873;861319
2024;Iêmen;Carne de Aves;526677;243000
2024;Reino Unido;Carne de Aves;518822;310211
2024;Catar;Carne de Aves;517784;226800
2024;Filipinas;Carne de Aves;516384;1137690
2024;Filipinas;Carne de Aves;506928;417860
2024;Timor Leste;Carne de Aves;501765;364195
2024;Chade;Carne de Aves;496822;314883
2024;Gâmbia;Carne de Aves;489501;302602
2024;Timor Leste;Carne Suína;481332;198843
2024;Alemanha;Outras Carnes e Miudezas;481149;134000
2024;Azerbaijão;Carne de Aves;476486;833745
2024;Libéria;Carne de Aves;476479;843156
2024;México;Carne Suína;475650;268573
2024;África do Sul;Carne de Aves;475189;912632
2024;Timor Leste;Carne de Aves;465719;340868
2024;Congo, República Democrática;Carne de Aves;452108;512120
2024;Congo, República Democrática;Carne de Aves;450843;447380
2024;Iêmen;Carne de Aves;446407;168602
2024;Seicheles;Carne de Aves;445663;334969
2024;Canadá;Carne Bovina;439488;99984
2024;Somália;Carne de Aves;431676;260160
2024;Egito;Carne Bovina;427159;109190
2024;Sint Maarten;Carne de Aves;427117;216777
2024;Portugal;Carne de Aves;423125;564400
2024;Congo, República Democrática;Carne Suína;417422;369437
2024;Vietnã;Carne de Aves;416211;281445
2024;Congo;Carne de Aves;395103;400733
2024;Líbia;Carne de Aves;391493;193020
2024;Moçambique;Carne de Aves;389987;387655
2024;Congo, República Democrática;Carne de Aves;384221;1121693
2024;Angola;Carne Suína;372733;176668
2024;Angola;Outras Carnes e Miudezas;366645;810345
